"","kingdom","phylum","class","order","family","genus","species"
"455","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia globosa"
"456","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia restricta"
"457","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","unidentified"
"459","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Melanelixia","Melanelixia fuliginosa"
"460","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Melanoleuca","Melanoleuca decembris"
"461","Fungi","Ascomycota","Sordariomycetes","Melanosporales","Ceratostomataceae","Melanospora","unidentified"
"462","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Memnoniella","Memnoniella echinata"
"463","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Meristemomyces","Meristemomyces frigidus"
"464","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium anisopliae"
"465","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium lepidiotae"
"466","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Marquandomyces","Marquandomyces marquandii"
"467","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia chrysoperlae"
"468","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia fructicola"
"469","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia pulcherrima"
"470","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Meyerozyma","Meyerozyma guilliermondii"
"471","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","Microascus croci"
"472","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","unidentified"
"473","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Microdiplodia","unidentified"
"474","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","Microdochium bolleyi"
"475","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","Microdochium sorghi"
"476","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","unidentified"
"477","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Microscypha","unidentified"
"478","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Millerozyma","Millerozyma farinosa"
"479","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","unidentified","unidentified","unidentified"
"480","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Mollisia","unidentified"
"481","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Dactylellina","unidentified"
"482","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Monascus","Monascus purpureus"
"483","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Monocillium","Monocillium indicum"
"484","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Monocillium","Monocillium mucidum"
"485","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hyponectriaceae","Monographella","Monographella nivalis"
"486","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hyponectriaceae","Monographella","unidentified"
"490","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Montagnula","Montagnula aloes"
"491","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina"
"492","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Actinomortierella","Actinomortierella ambigua"
"493","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia amoeboidea"
"494","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella angusta"
"495","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia camargensis"
"496","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Lunasporangiospora","unidentified"
"497","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Entomortierella","unidentified"
"498","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila clonocystis"
"499","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Necromortierella","Necromortierella dichotoma"
"500","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia elongata"
"501","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia exigua"
"502","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia gamsii"
"504","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila humilis"
"505","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia hyalina"
"506","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella indohii"
"507","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila minutissima"
"508","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","unidentified"
"509","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella rishikesha"
"510","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella sarnyensis"
"512","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Gamsiella","unidentified"
"513","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella zonata"
"514","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia zychae"
"515","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia","Mrakia frigida"
"516","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor brunneogriseus"
"517","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor circinelloides"
"518","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor hiemalis"
"519","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","unidentified"
"520","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","unidentified"
"521","Fungi","Ascomycota","Eurotiomycetes","Mycocaliciales","Mycocaliciaceae","Mycocalicium","unidentified"
"522","Fungi","Ascomycota","Dothideomycetes","Muyocopronales","Muyocopronaceae","Mycoleptodiscus","unidentified"
"523","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Mycosphaerella","unidentified"
"524","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Mycothermus","Mycothermus thermophilus"
"525","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Myrothecium","Myrothecium inundatum"
"526","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Myrothecium","unidentified"
"531","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia adeliensis"
"532","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia albida"
"533","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia cerealis"
"534","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia diffluens"
"535","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria","Nectria bactridioides"
"536","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","Neoascochyta exitialis"
"537","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Neocatenulostroma","unidentified"
"538","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","Neocucurbitaria keratinophila"
"539","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","Neocucurbitaria populi"
"540","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Neodevriesiaceae","Neodevriesia","Neodevriesia agapanthi"
"541","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neodidymelliopsis","Neodidymelliopsis cannabis"
"542","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neodidymelliopsis","Neodidymelliopsis ranunculi"
"543","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","Neofusicoccum algeriense"
"544","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","Neofusicoccum parvum"
"545","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Neonectria candida"
"546","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","unidentified"
"548","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Neopestalotiopsis","Neopestalotiopsis foedans"
"549","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","unidentified","unidentified","unidentified"
"550","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","unidentified"
"551","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neostagonospora","unidentified"
"552","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Neottiosporina","unidentified"
"553","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora","unidentified"
"555","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","unidentified","unidentified","unidentified"
"556","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Ochroconis","Ochroconis constricta"
"557","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Ochroconis","Ochroconis tshawytschae"
"558","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Oedocephalum","unidentified"
"565","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","unidentified","unidentified","unidentified"
"566","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium brassicae"
"567","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","unidentified"
"570","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Ovatospora","unidentified"
"571","Fungi","Mucoromycota","Glomeromycetes","Diversisporales","Pacisporaceae","Pacispora","unidentified"
"573","Fungi","Zoopagomycota","Entomophthoromycetes","Entomophthorales","Entomophthoraceae","Pandora","Pandora bullata"
"574","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema","Papiliotrema laurentii"
"575","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium","Paraconiothyrium cyclothyrioides"
"576","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium","Paraconiothyrium fuckelii"
"577","Fungi","Mucoromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","Paraglomus laccatum"
"578","Fungi","Mucoromycota","Glomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","unidentified"
"579","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","unidentified"
"582","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma chrysanthemicola"
"583","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","unidentified"
"584","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmelia","unidentified"
"585","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","unidentified","unidentified","unidentified"
"586","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Penicillaginaceae","Penicillago","Penicillago nodositata"
"587","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium adametzii"
"588","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium adametzioides"
"589","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium anatolicum"
"590","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium aurantiogriseum"
"591","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium bialowiezense"
"592","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium bilaiae"
"593","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium brasilianum"
"594","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium brevicompactum"
"595","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium camemberti"
"596","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium capsulatum"
"597","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium chrysogenum"
"598","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium citrinum"
"599","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium coralligerum"
"600","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium crystallinum"
"601","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium cyclopium"
"602","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium digitatum"
"603","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","unidentified"
"604","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium expansum"
"605","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium glabrum"
"606","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium griseofulvum"
"607","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium herquei"
"608","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium jugoslavicum"
"609","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium levitum"
"611","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium madriti"
"612","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium mariae-crucis"
"613","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium melinii"
"614","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium menonorum"
"615","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium monsgalena"
"616","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium ochrochloron"
"617","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"618","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium oxalicum"
"619","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium pimiteouiense"
"620","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces pinophilus"
"621","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium polonicum"
"622","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium restrictum"
"623","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium roseopurpureum"
"624","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium simplicissimum"
"625","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium sizovae"
"628","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium westlingii"
"629","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophora aurantiaca"
"630","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophora pini"
"631","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","unidentified"
"632","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia prolifica"
"634","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","Pertusaria leioplaca"
"635","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Pesotum","unidentified"
"636","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Pestalotiopsis","Pestalotiopsis disseminata"
"637","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Petriella","unidentified"
"638","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","Peziza saccardoana"
"639","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","unidentified"
"640","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","Peziza subcitrina"
"641","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Pezizella","Pezizella chrysostigma"
"642","Fungi","Ascomycota","Sordariomycetes","Togniniales","Togniniaceae","Phaeoacremonium","Phaeoacremonium australiense"
"643","Fungi","Ascomycota","Sordariomycetes","Togniniales","Togniniaceae","Phaeoacremonium","Phaeoacremonium fraxinopennsylvanicum"
"644","Fungi","Ascomycota","Sordariomycetes","Togniniales","Togniniaceae","Phaeoacremonium","Phaeoacremonium hungaricum"
"645","Fungi","Ascomycota","Sordariomycetes","Togniniales","Togniniaceae","Phaeoacremonium","Phaeoacremonium iranianum"
"646","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces mexicanus"
"647","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","unidentified"
"648","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Phaeocytostroma","Phaeocytostroma ambiguum"
"649","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Phaeomoniella","unidentified"
"650","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","unidentified"
"651","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Phaeothecoidea","Phaeothecoidea intermedia"
"652","Fungi","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","Phallus","Phallus rugulosus"
"653","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Phialocephala","unidentified"
"654","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora americana"
"655","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora geniculata"
"657","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phlebiopsis","Phlebiopsis gigantea"
"658","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Pholiota","Pholiota conissans"
"659","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Pholiotina","Pholiotina sulcata"
"660","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma adonidicola"
"661","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Neocamarosporium","unidentified"
"662","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma herbarum"
